# D_l  z_obs  sigma_D_l  sigma_z  v_rms
3.363668841973985195e+02 8.597823264627400819e-02 8.563119190999999830e+01 5.427452743857297084e-03 5.000000000000000000e+02
2.590943138084329007e+02 6.307148910933751962e-02 6.444957426000000567e+01 5.313203246735328199e-03 5.000000000000000000e+02
2.016419247294512047e+02 4.756824570902005306e-02 4.994192781000000281e+01 5.238442119918266561e-03 5.000000000000000000e+02
1.958322516431812801e+02 3.782605281088641247e-02 4.155932156250000276e+01 5.196385022802301260e-03 5.000000000000000000e+02
4.998096563643302943e+02 9.937173148797913413e-02 9.755004290499999797e+01 5.494494143195235124e-03 5.000000000000000000e+02
9.513213925157133133e+01 2.458086473208650341e-02 2.376383628500000000e+01 5.110047785833914807e-03 5.000000000000000000e+02
4.206419241549361345e+02 9.723346612810518375e-02 9.785071801499999822e+01 5.496199152956924260e-03 5.000000000000000000e+02
4.720377131681914307e+02 7.756398336294251239e-02 7.910959772249999844e+01 5.391550359461172795e-03 5.000000000000000000e+02
8.507602405832069792e+01 3.157823295681901760e-02 3.492469481500000228e+01 5.163828417739518839e-03 5.000000000000000000e+02
2.012394567347768657e+02 4.918381913059306082e-02 5.606115651249999843e+01 5.269679229205550576e-03 5.000000000000000000e+02
3.977746986218002121e+02 7.254699593096636256e-02 7.802608046999999658e+01 5.385693525414085928e-03 5.000000000000000000e+02
2.762677407299560741e+02 6.228193710699510277e-02 6.974534903250000184e+01 5.341148481159474666e-03 5.000000000000000000e+02
5.940788137739047414e+01 1.424146432290169725e-02 2.102122826000000089e+01 5.096988560036539925e-03 5.000000000000000000e+02
2.702846910808423218e+02 5.608440179355619892e-02 6.033036137500000251e+01 5.291670109103327121e-03 5.000000000000000000e+02
3.354682740471782267e+02 7.949932688990193896e-02 7.985857543000000192e+01 5.395598876573081196e-03 5.000000000000000000e+02
2.310762549866104507e+02 3.788994241020708642e-02 4.698154701499999675e+01 5.223557930283291573e-03 5.000000000000000000e+02
8.674920915670259092e+01 1.831614823312380583e-02 2.643705284749999862e+01 5.122849352388575417e-03 5.000000000000000000e+02
3.736609476675924384e+02 8.406138916085002799e-02 8.618900977750000436e+01 5.430541161731635563e-03 5.000000000000000000e+02
1.923111416841690300e+02 5.576819168049558517e-02 5.427807504249999937e+01 5.260494490661109940e-03 5.000000000000000000e+02
